turn,output,predicted_output,forecast_error,asset_price,credit,gini,top10,defaults,bank_failures,mean_rate,alive_firms,total_wealth,strategy_conservative,strategy_balanced,strategy_growth,strategy_speculative
1,41.54644184086242,0.0,1.0,100.42365139939476,282.03604524369393,0.0854698353061083,0.13214746317412296,0.0,0.0,0.054970606283633504,45.0,887.9640109108069,10,13,10,12
2,60.24064892198168,41.54644184086242,0.3103254598955322,101.50628696015016,194.48690404323585,0.08875666769824475,0.1298030679015064,9.0,1.0,0.08668536145193823,36.0,742.4562171485002,10,13,10,3
3,47.90575104381431,60.24064892198168,0.2574826113650936,101.44201431854225,228.6033116856746,0.0802248276172981,0.1505091268174381,5.0,0.0,0.0641901842392714,31.0,686.0342786981159,10,13,8,0
4,42.08852801426304,51.08540564529026,0.21376080503405437,100.993949796463,227.06048831406457,0.07948291155786635,0.13125873570306662,4.0,0.0,0.07340924443706447,27.0,646.8367133648018,10,13,4,0
5,38.251054635810526,42.26922340539658,0.10504726752878224,99.25124408505343,200.49159920093285,0.07162301248442238,0.14729751785401946,3.0,0.0,0.06971459746064361,24.0,616.757064357598,10,13,1,0
6,33.68196224432718,37.42720783454755,0.11119440022682041,100.98896227794759,178.9089057364498,0.0783594913411465,0.15710200621855858,1.0,0.0,0.06608881166883862,23.0,613.6851337806138,10,13,0,0
7,33.16785158420715,32.10906632502013,0.03192203319226015,85.64626206398586,179.27612846335947,0.08096549841079725,0.15946564405248384,0.0,0.0,0.07056679496123217,23.0,583.2954133496921,10,13,0,0
8,33.65185279061898,27.753292116652243,0.17528189935536212,85.79608344065905,157.8780618295857,0.28086676982566505,0.2139506509879467,1.0,0.0,0.07511071996953816,45.0,627.0945256890559,18,25,1,1
9,47.587452659697874,30.801073139979916,0.3527480161579326,85.64560082665693,200.09649145396847,0.3295020753810989,0.21491013628316158,7.0,0.0,0.059579858549943736,38.0,567.3534337229752,18,18,1,1
10,41.56442582165253,48.68723758878484,0.17136798178556245,86.26816282412817,199.0769399864767,0.3177770491136074,0.22480215082121077,2.0,0.0,0.06646030491219343,36.0,562.7179952927155,18,17,1,0
11,40.620885274936825,42.22710005882093,0.03954159967250009,87.5030341499983,186.69038290546283,0.3077877256739585,0.22995150818370216,1.0,0.0,0.074831221358557,35.0,569.9018495441217,18,16,1,0
12,39.61261491426438,42.00866988105875,0.060487169856882184,85.89617425330884,203.9130577959938,0.31699661107827337,0.24237641843899238,1.0,0.0,0.07142745778397126,34.0,562.8357116358552,18,15,1,0
